0 1 2
1053367599390736385 2 412
1053367131994230784 5389 50892
1053340122618437632 22 974
1053337829026287617 4387 26489
1053287215814635520 1 57
1053088910610444288 13 780
1053086940038422528 10413 109453
1052985475252854784 0 6
1052978712436727808 0 4
1052803347999350785 9 136
1052714609021517825 470 2545
1052713532666593281 21034 156081
1052704212046491648 1 25
1052665804444061697 2 238
1052600277696700417 1 3
1052598024239759363 1 62
1052591741675728896 3 425
1052591224400568320 15270 112631
1052368859649462272 19409 0
1052334239742615552 0 1
1052309665697161216 32 1714
1052196252593651712 0 2
1052003049340895234 0 366
1052000669069139968 12638 101748
1051982180715499526 4 141
1051981170995580928 0 24
1051891719464255496 3 127
1051886697150074880 13 581
1051881969993310208 0 44
1051877533241802752 4 302
1051876743366238209 0 7
1051874285248229377 727 9925
1051866846138380292 0 1
1051619248844492801 30262 156090
1051594464869974017 6 116
1051555674293985281 0 5
1051546747049259008 144 0
1051178235545964544 3 262
1051135848832483328 0 6
1050821040123912192 63 3397
1050820029489602560 6 104
1050818465936883712 2 734
1050816834549755904 6894 42801
1050541404479516674 14 1344
1050538856557277184 18 2022
1050533693125742594 56376 314361
1050529931476828168 0 6
1050145025210888194 0 23
1050068036382797825 7 646
1050064546596044801 42 2509
1050063880641241088 9 548
1050061159854936064 0 5
1050060975238471680 0 35
1050060555078262784 45781 251830
1049822970661756928 0 16
1049803673910558720 0 22
1049784335119904768 10 295
1049768263297769472 3 758
1049756013610618886 9 1210
1049744821366255616 0 168
1049744129654181889 18967 123582
1049457642144497664 5 1061
1049457003683344384 14077 116859
1049405493721145345 343 3483
1049090228034707458 4 404
1049088845139070977 0 292
1049086836419825664 4 583
1049085727382941696 9886 100631
1049074192342298624 9 138
1048971164293447680 0 86
1048969282288308225 0 5
1048962673948463106 0 6
1048951833811714048 297 0
1048636240566861830 1 584
1048633115936268288 11650 112321
1048591654788222976 25 1048
1048558789446778880 0 10
1048555762245685249 0 9
1048331781202751490 193 3310
1048327420246478848 0 10
1048265334665502720 4 242
1048261417688858629 21 2552
1048260941878575106 4101 41378
1048253921519648769 0 21
1048250260160753664 436 4228
1048072270785261568 0 34
1048014409812074496 2 554
1048013293850439680 18903 123899
1047989938539696133 1 91
1047974191868391425 0 4
